000120.KS, Updated at 2016-09-30
OKE, Updated at 2016-09-30
OKS, Updated at 2016-09-30
OMAM.K, Updated at 2016-09-30
OMI, Updated at 2016-09-30
ORBC.O, Updated at 2016-09-30
ORK.OL, Updated at 2016-09-30
OSK, Updated at 2016-09-30
OSUR.O, Updated at 2016-09-30
OTTR.O, Updated at 2016-09-30
OVES.SI, Updated at 2016-09-30
OZGYO.IS, Updated at 2016-09-30
OZM, Updated at 2016-09-30
PAA, Updated at 2016-09-30
PACB.O, Updated at 2016-09-30
PALF.VI, Updated at 2016-09-30
PAR_u.TO, Updated at 2016-09-30
PAYC.K, Updated at 2016-09-30
PBB.PS, Updated at 2016-09-30
PBPB.O, Updated at 2016-09-25
PCELL.ST, Updated at 2016-09-30
PCGB.KL, Updated at 2016-09-30
PCRX.O, Updated at 2016-09-30
PEGA.O, Updated at 2016-09-30
PEH.SN, Updated at 2016-09-30
PEI, Updated at 2016-09-30
PGAS.KL, Updated at 2016-09-30
PGRE.K, Updated at 2016-09-30
PHMR.MC, Updated at 2016-09-30
PIA.MI, Updated at 2016-09-30
PICO.O, Updated at 2016-09-30
PINSU.IS, Updated at 2016-09-30
PJT, Updated at 2016-09-30
PLIN.JK, Updated at 2016-09-30
PM.S, Updated at 2016-09-30
PMN.TO, Updated at 2016-09-30
PNDORA.CO, Updated at 2016-09-30
PNSUT.IS, Updated at 2016-09-30
POP.MC, Updated at 2016-09-30
POWR.JK, Updated at 2016-06-30
PPS, Updated at 2016-09-30
PRA, Updated at 2016-09-30
PRG.V, Updated at 2016-08-31
PRKME.IS, Updated at 2016-09-30
PRMW.O, Updated at 2016-09-30
PRTA.O, Updated at 2016-09-30
PRTK.O, Updated at 2016-09-30
PSAB.JK, Updated at 2016-09-30
PSD.TO, Updated at 2016-09-30
PST.V, Updated at 2016-08-31
PTPP.JK, Updated at 2016-09-30
PTS.TO, Updated at 2016-09-30
PTTEP.BK, Updated at 2016-09-30
PTTEPf.BK, Updated at 2016-09-30
PTTEPn.BK, Updated at 2016-09-30
PV.DE, Updated at 2016-09-30
PWON.JK, Updated at 2016-09-30
PWT.TO, Updated at 2016-09-30
PXD, Updated at 2016-09-30
PZZA.O, Updated at 2016-09-25
Q, Updated at 2016-09-30
QCOM.O, Updated at 2016-09-25
QCOM34.SA, Updated at 2016-09-25
QPR1V.HE, Updated at 2016-09-30
QUAD.K, Updated at 2016-09-30
RAP1V.HE, Updated at 2016-09-30
RAYSG.IS, Updated at 2016-09-30
RDL.TO, Updated at 2016-09-30
RDSa, Updated at 2016-09-30
RDSa.AS, Updated at 2016-09-30
RDSb, Updated at 2016-09-30
RDSb.L, Updated at 2016-09-30
REG1V.HE, Updated at 2016-09-30
REGI.O, Updated at 2016-09-30
RGLS.O, Updated at 2016-09-30
RGR, Updated at 2016-10-01
RHP, Updated at 2016-09-30
RIG, Updated at 2016-09-30
RNR, Updated at 2016-09-30
RO.S, Updated at 2016-09-30
ROG, Updated at 2016-09-30
ROTI.JK, Updated at 2016-09-30
RPAI.K, Updated at 2016-09-30
RRD.O, Updated at 2016-09-30
RRGB.O, Updated at 2016-10-02
RRTS.K, Updated at 2016-09-30
RWC, Updated at 2016-09-30
RXN, Updated at 2016-09-30
RYGYO.IS, Updated at 2016-09-30
RYI, Updated at 2016-09-30
RYMD.NS, Updated at 2016-09-30
RYN, Updated at 2016-09-30
SABE.MC, Updated at 2016-09-30
SABR.O, Updated at 2016-09-30
SAFT.O, Updated at 2016-09-30
SAL.O, Updated at 2016-09-30
SALE.O, Updated at 2016-09-30
SBAC.O, Updated at 2016-09-30
SBGI.O, Updated at 2016-09-30
SBRA.O, Updated at 2016-09-30
SEB, Updated at 2016-10-01
SECB.PS, Updated at 2016-09-30
SF, Updated at 2016-09-30
SF_pa, Updated at 2016-09-30
SGRC.NS, Updated at 2016-09-30
SHO, Updated at 2016-09-30
SHOP.K, Updated at 2016-09-30
SHP.L, Updated at 2016-09-30
SHPG.O, Updated at 2016-09-30
SILO.JK, Updated at 2016-09-30
SIS.TO, Updated at 2016-09-30
SKCT.NS, Updated at 2016-09-30
SKG.I, Updated at 2016-09-30
SLAVI.RTS, Updated at 2016-09-30
SLBEN.LS, Updated at 2016-06-30
SM, Updated at 2016-09-30
SMSM.JK, Updated at 2016-09-30
SNAK.O, Updated at 2016-09-24
SNR, Updated at 2016-09-30
SORR.OL, Updated at 2016-09-30
SP.O, Updated at 2016-09-30
SPOG.OL, Updated at 2016-09-30
SPR, Updated at 2016-09-29
SQ, Updated at 2016-09-30
SRE, Updated at 2016-09-30
STANLY.BK, Updated at 2016-09-30
STANLYf.BK, Updated at 2016-09-30
STANLYn.BK, Updated at 2016-09-30
STEa.ST, Updated at 2016-09-30
STEAV.HE, Updated at 2016-09-30
STEFb.ST, Updated at 2016-09-30
STEr.ST, Updated at 2016-09-30
STERV.HE, Updated at 2016-09-30
STWD.K, Updated at 2016-09-30
SUM, Updated at 2016-10-01
SUMR.O, Updated at 2016-10-01
SVEDb.ST, Updated at 2016-09-30
SWECa.ST, Updated at 2016-09-30
SWECb.ST, Updated at 2016-09-30
SWM, Updated at 2016-09-30
SY1G.DE, Updated at 2016-09-30
SYDB.CO, Updated at 2016-09-30
SYNN.S, Updated at 2016-09-30
SYNNEE.S, Updated at 2016-09-30
SYNNEN.S, Updated at 2016-09-30
SYT, Updated at 2016-09-30
TABR.DU, Updated at 2016-09-30
TAGMb.ST, Updated at 2016-09-30
TCO, Updated at 2016-09-30
TDC.CO, Updated at 2016-09-30
TDG.TO, Updated at 2016-09-30
TEAKCPO.MX, Updated at 2016-09-30
TECM.MC, Updated at 2016-09-30
TEGP.K, Updated at 2016-09-30
TEP, Updated at 2016-09-30
TG, Updated at 2016-09-30
TGNA.K, Updated at 2016-09-30
THR, Updated at 2016-09-30
THREL.BK, Updated at 2016-09-30
THRELn.BK, Updated at 2016-09-30
TIK1V.HE, Updated at 2016-09-30
TISI.K, Updated at 2016-09-30
TKCS.KL, Updated at 2016-09-30
TLLP.K, Updated at 2016-09-30
TLT1V.HE, Updated at 2016-09-30
TMCN.KL, Updated at 2016-08-31
TMHC.K, Updated at 2016-09-30
TML.TO, Updated at 2016-09-30
TNH, Updated at 2016-09-30
TOURq.L, Updated at 2016-09-30
TOWR.K, Updated at 2016-09-30
TPC, Updated at 2016-09-30
TRC.SN, Updated at 2016-09-30
TRNC.O, Updated at 2016-09-25
TRNO.K, Updated at 2016-09-30
TRP.TO, Updated at 2016-09-30
TRPN3.SA, Updated at 2016-09-30
TSBK.O, Updated at 2016-09-30
TSO, Updated at 2016-09-30
TST.O, Updated at 2016-09-30
TTOO.O, Updated at 2016-09-30
TTWO.O, Updated at 2016-09-30
TVIA.O, Updated at 2016-09-30
TWO, Updated at 2016-09-30
TWX, Updated at 2016-09-30
TWXB34.SA, Updated at 2016-09-30
TXRH.O, Updated at 2016-09-27
UE, Updated at 2016-09-30
UFCS.O, Updated at 2016-09-30
UFPT.O, Updated at 2016-09-30
UIHC.O, Updated at 2016-09-30
UNIBsdb.ST, Updated at 2016-09-30
UNSM.KL, Updated at 2016-09-30
UNTR.JK, Updated at 2016-09-30
UNYEC.IS, Updated at 2016-09-30
URBI.MX, Updated at 2016-09-30
UVE, Updated at 2016-09-30
VA.O, Updated at 2016-09-30
VCVh.V, Updated at 2016-08-31
VER, Updated at 2016-09-30
VERTU.IS, Updated at 2016-09-30
VIAV.O, Updated at 2016-10-01
VII.TO, Updated at 2016-09-30
VISTIN.OL, Updated at 2016-09-30
VISU.NS, Updated at 2016-03-31
VJBK.NS, Updated at 2016-09-30
VMC, Updated at 2016-09-30
VNDA.O, Updated at 2016-09-30
VNP.TO, Updated at 2016-09-30
VNTI.NS, Updated at 2016-09-30
VOYA.K, Updated at 2016-09-30
VSI, Updated at 2016-09-24
VSN.TO, Updated at 2016-09-30
VVC, Updated at 2016-09-30
WCP.TO, Updated at 2016-09-30
WD, Updated at 2016-09-30
WDAM.QA, Updated at 2016-09-30
WDP.BO, Updated at 2016-09-30
WES, Updated at 2016-09-30
WGP, Updated at 2016-09-30
WIKA.JK, Updated at 2016-09-30
WJA.TO, Updated at 2016-09-30
WJX.TO, Updated at 2016-09-30
WMC, Updated at 2016-09-30
WMGI.O, Updated at 2016-09-25
WOHL.NS, Updated at 2016-09-30
WPX, Updated at 2016-09-30
WRN.TO, Updated at 2016-09-30
WSTC.O, Updated at 2016-09-30
WTM, Updated at 2016-09-30
WTR, Updated at 2016-09-30
WTS, Updated at 2016-10-02
WUGG.DE, Updated at 2016-09-30
WYNN.O, Updated at 2016-09-30
X, Updated at 2016-09-30
XCO, Updated at 2016-09-30
XEC, Updated at 2016-09-30
XENT.O, Updated at 2016-09-30
XNCR.O, Updated at 2016-09-30
YASP.BO, Updated at 2016-09-30
YELP.K, Updated at 2016-09-30
YKGYO.IS, Updated at 2016-09-30
ZAGG.O, Updated at 2016-09-30
ZCL.TO, Updated at 2016-09-30
ZEN, Updated at 2016-09-30
ZNGA.O, Updated at 2016-09-30
ZTS, Updated at 2016-09-30
ZZZ.TO, Updated at 2016-09-30
